,street,city_state,price,bed,bath,sqft,walkscore,transitscore,bikescore,competitivescore,url
65,1168 Marlys Cmn,"Livermore, CA 94550",998000,3Beds,2.5Baths,"1,625Sq Ft",76 / 100,0,84 / 100,86Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/1168-Marlys-Cmn-94550/home/781014
66,865 Tranquility Cir #4,"Livermore, CA 94551",995000,3Beds,3Baths,"1,508Sq Ft",23 / 100,0,51 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/865-Tranquility-Cir-94551/unit-4/home/167293315
67,713 Ironwood Rd,"Alameda, CA 94502",1100000,2Beds,2.5Baths,"1,534Sq Ft",57 / 100,30 / 100,81 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Alameda/713-Ironwood-Rd-94502/home/1988692
68,77 Shaniko Cmn,"Fremont, CA 94539",799000,3Beds,2Baths,"1,170Sq Ft",78 / 100,34 / 100,68 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/77-Shaniko-Cmn-94539/unit-20/home/1014737
69,4522 Sandyford Ct,"Dublin, CA 94568",1125000,3Beds,3Baths,"1,693Sq Ft",79 / 100,0,77 / 100,94Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Dublin/4522-Sandyford-Ct-94568/home/1255250
70,35550 Monterra Ter #201,"Union City, CA 94587",640000,2Beds,2Baths,"1,006Sq Ft",55 / 100,0,49 / 100,84Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Union-City/35550-Monterra-Ter-94587/unit-201/home/530385
71,824 Henry St,"Oakland, CA 94607",899000,5Beds,3.5Baths,"2,505Sq Ft",82 / 100,66 / 100,99 / 100,58Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/824-Henry-St-94607/home/1586141
72,9883 Macarthur Blvd Unit A,"Oakland, CA 94605",750990,4Beds,3.5Baths,"1,671Sq Ft",68 / 100,57 / 100,59 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/9883-MacArthur-Blvd-94605/unit-A/home/179310456
73,1461 86 Ave Unit Holly,"Oakland, CA 94621",699000,4Beds,2Baths,—Sq Ft,82 / 100,54 / 100,58 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1461-86th-Ave-94621/unit-Holly/home/179310452
74,1444 E 32nd St,"Oakland, CA 94602-1025",499000,2Beds,1Bath,666Sq Ft,71 / 100,56 / 100,54 / 100,75Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1444-E-32nd-St-94602/home/1666444
