,street,city_state,price,bed,bath,sqft,walkscore,transitscore,bikescore,competitivescore,url
641,1310 31St Ave,"Oakland, CA 94601",849000,6Beds,5Baths,"2,558Sq Ft",98 / 100,75 / 100,81 / 100,0,https://www.redfin.com//CA/Oakland/1310-31st-Ave-94601/home/1524317
642,4415 Masterson St,"Oakland, CA 94619",749000,2Beds,1Bath,924Sq Ft,82 / 100,50 / 100,50 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/4415-Masterson-St-94619/home/550095
643,222 Broadway #914,"Oakland, CA 94607",665000,1Bed,1Bath,735Sq Ft,98 / 100,84 / 100,81 / 100,70Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/222-Broadway-94607/unit-914/home/28696730
644,2830 Myrtle St,"Oakland, CA 94608",899000,4Beds,3Baths,"2,017Sq Ft",90 / 100,63 / 100,99 / 100,48Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/2830-Myrtle-St-94608/home/110220975
645,1007 41St St #213,"Emeryville, CA 94608",549000,1Bed,1Bath,969Sq Ft,92 / 100,69 / 100,98 / 100,49Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1007-41st-St-94608/unit-213/home/12115015
646,324 45Th St,"Oakland, CA 94609",619000,2Beds,1Bath,620Sq Ft,92 / 100,62 / 100,82 / 100,81Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/324-45th-St-94609/home/17185493
647,7998 Phaeton Dr,"Oakland, CA 94605",1200000,3Beds,2.5Baths,"2,286Sq Ft",14 / 100,19 / 100,15 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/7998-Phaeton-Dr-94605/home/1543847
648,992 44Th St,"Oakland, CA 94608",1649000,8Beds,4Baths,"3,382Sq Ft",91 / 100,69 / 100,98 / 100,81Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/992-44th-St-94608/home/528042
649,996 44Th St,"Oakland, CA 94608",1495000,8Beds,4Baths,"3,132Sq Ft",91 / 100,69 / 100,98 / 100,81Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/996-44th-St-94608/home/840995
650,824 Henry St,"Oakland, CA 94607",899000,5Beds,3.5Baths,"2,505Sq Ft",82 / 100,66 / 100,99 / 100,58Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/824-Henry-St-94607/home/1586141
651,9883 Macarthur Blvd Unit A,"Oakland, CA 94605",750990,4Beds,3.5Baths,"1,671Sq Ft",68 / 100,57 / 100,59 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/9883-MacArthur-Blvd-94605/unit-A/home/179310456
652,1461 86 Ave Unit Holly,"Oakland, CA 94621",699000,4Beds,2Baths,—Sq Ft,82 / 100,54 / 100,58 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1461-86th-Ave-94621/unit-Holly/home/179310452
653,1444 E 32nd St,"Oakland, CA 94602-1025",499000,2Beds,1Bath,666Sq Ft,71 / 100,56 / 100,54 / 100,75Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1444-E-32nd-St-94602/home/1666444
654,7475 Woodrow Dr,"Oakland, CA 94611",850000,2Beds,1Bath,"1,168Sq Ft",9 / 100,7 / 100,28 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/7475-Woodrow-Dr-94611/home/945475
655,2368 107Th Ave,"Oakland, CA 94603",699888,3Beds,2Baths,"1,060Sq Ft",80 / 100,56 / 100,77 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/2368-107th-Ave-94603/home/1642766
656,1201 Pine St #362,"OAKLAND, CA 94607",498000,1Bed,1Bath,842Sq Ft,67 / 100,59 / 100,83 / 100,58Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1201-Pine-St-94607/unit-362/home/28696847
657,2715 61St Ave,"Oakland, CA 94605",685000,4Beds,2Baths,"1,512Sq Ft",84 / 100,56 / 100,61 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/2715-61st-Ave-94605/home/1902858
658,676 - 678 19th St,"Oakland, CA 94612",828000,3Beds,2Baths,"1,143Sq Ft",96 / 100,80 / 100,97 / 100,64Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/676-19th-St-94612/home/1992041
659,2827 Morgan Ave,"Oakland, CA 94602",799000,2Beds,1Bath,"1,031Sq Ft",65 / 100,50 / 100,39 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/2827-Morgan-Ave-94602/home/541735
660,3801 San Pablo Ave #409,"Emeryville, CA 94608",665000,2Beds,2Baths,825Sq Ft,90 / 100,0,95 / 100,71Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Emeryville/3801-San-Pablo-Ave-94608/unit-409/home/22962290
661,425 Vernon St,"Oakland, CA 94610",1550000,8Beds,3Baths,"3,014Sq Ft",78 / 100,56 / 100,65 / 100,64Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/425-Vernon-St-94610/home/1507757
662,6817 Eastlawn St,"Oakland, CA 94621",399000,3Beds,1Bath,"1,014Sq Ft",74 / 100,75 / 100,64 / 100,77Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/6817-Eastlawn-St-94621/home/1937105
663,1839 9Th Ave,"Oakland, CA 94606",799900,4Beds,2Baths,"1,654Sq Ft",89 / 100,58 / 100,80 / 100,75Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1839-9th-Ave-94606/home/533087
664,6784 Sims Dr,"Oakland, CA 94611",2200000,5Beds,4Baths,"2,151Sq Ft",60 / 100,36 / 100,30 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/6784-Sims-Dr-94611/home/1713050
665,4316 Rilea Way,"Oakland, CA 94605",1599000,9Beds,5Baths,"5,307Sq Ft",31 / 100,27 / 100,18 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/4316-Rilea-Way-94605/unit-1/home/1642619
666,2222 85th Ave,"Oakland, CA 94605",550000,3Beds,2Baths,"1,418Sq Ft",69 / 100,56 / 100,64 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/2222-85th-Ave-94605/home/1588000
667,8715 E St,"OAKLAND, CA 94621",399000,4Beds,2Baths,"1,384Sq Ft",67 / 100,57 / 100,63 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/8715-E-St-94621/home/886274
668,1305 50Th Ave,"Oakland, CA 94601",575000,4Beds,2Baths,"1,650Sq Ft",91 / 100,56 / 100,78 / 100,77Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1305-50th-Ave-94601/home/1118058
669,Undisclosed Address,"Oakland, CA 94603",199000,—Beds,—Baths,"9,381Sq Ft (Lot)",22 / 100,31 / 100,25 / 100,0,https://www.redfin.com//CA/Oakland/Undisclosed-address-94611/home/179290111
670,Undisclosed Address,"Oakland, CA 94603",175000,—Beds,—Baths,"7,871Sq Ft (Lot)",22 / 100,31 / 100,25 / 100,0,https://www.redfin.com//CA/Oakland/Undisclosed-address-94611/home/179289941
671,1067 61st St,"Oakland, CA 94608",475000,—Beds,—Baths,"3,333Sq Ft (Lot)",89 / 100,60 / 100,87 / 100,0,https://www.redfin.com//CA/Oakland/1067-61st-St-94608/home/179281490
672,108 STRATHMOOR Dr,"Berkeley, CA 94705",1295000,2Beds,1Bath,"1,692Sq Ft",6 / 100,14 / 100,22 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Berkeley/108-Strathmoor-Dr-94705/home/1079138
673,2353 - 2355 83rd Ave,"Oakland, CA 94605",488000,2Beds,2Baths,"1,464Sq Ft",67 / 100,57 / 100,63 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/2353-83rd-Ave-94605/home/1063512
674,1514 23Rd Ave,"Oakland, CA 94606",749000,5Beds,3Baths,"1,704Sq Ft",95 / 100,60 / 100,82 / 100,75Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1514-23rd-Ave-94606/home/21652082
675,66 Fairmount Ave #311,"Oakland, CA 94611",579000,2Beds,2Baths,"1,018Sq Ft",93 / 100,67 / 100,78 / 100,64Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/66-Fairmount-Ave-94611/unit-311/home/12173788
676,2 Orinda Vista Dr,"OAKLAND, CA 94605",1388000,3Beds,2Baths,"2,454Sq Ft",14 / 100,26 / 100,17 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/2-Orinda-Vista-Dr-94605/home/601459
677,762 Barbara Rd,"Oakland, CA 94610",1300000,4Beds,4Baths,"4,800Sq Ft",90 / 100,55 / 100,60 / 100,75Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/762-Barbara-Rd-94610/home/1841564
678,8 Bishop Ct,"Oakland, CA 94611",440000,—Beds,—Baths,0.36Acre (Lot),16 / 100,24 / 100,26 / 100,0,https://www.redfin.com//CA/Oakland/8-Bishop-Ct-94611/home/179273759
679,744 Mountain Blvd,"Oakland, CA 94611",1950000,5Beds,4Baths,"3,319Sq Ft",22 / 100,26 / 100,33 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/744-Mountain-Blvd-94611/home/731153
680,694 Portofino Ln,"FOSTER CITY, CA 94404",1298000,2Beds,2Baths,"1,395Sq Ft",57 / 100,0,58 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Foster-City/694-Portofino-Ln-94404/home/1949241
681,4025 Bayview Ave,"SAN MATEO, CA 94403",1998000,3Beds,3.5Baths,"1,865Sq Ft",76 / 100,43 / 100,25 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Mateo/4025-Bayview-Ave-94403/home/1632324
682,1588 Vista Del Sol,"SAN MATEO, CA 94404",988000,2Beds,2.5Baths,"1,115Sq Ft",46 / 100,32 / 100,74 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Mateo/1588-Vista-Del-Sol-94404/home/2025543
683,302 Fairway Dr,"SOUTH SAN FRANCISCO, CA 94080",1088000,2Beds,1Bath,860Sq Ft,81 / 100,0,68 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/South-San-Francisco/302-Fairway-Dr-94080/home/1912927
684,277 42nd Ave,"SAN MATEO, CA 94403",2099999,3Beds,2.5Baths,"1,710Sq Ft",65 / 100,41 / 100,23 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Mateo/277-42nd-Ave-94403/home/1035771
685,1139 Village Dr,"BELMONT, CA 94002",5500000,13Beds,10Baths,"9,275Sq Ft",68 / 100,0,34 / 100,0,https://www.redfin.com//CA/Belmont/1139-Village-Dr-94002/home/766604
686,1885 E Bayshore Rd #8,"EAST PALO ALTO, CA 94303",499000,2Beds,1Bath,784Sq Ft,55 / 100,0,69 / 100,63Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/East-Palo-Alto/1885-E-Bayshore-Rd-94303/unit-8/home/17307756
687,819 N Humboldt St #204,"SAN MATEO, CA 94401",699000,2Beds,1Bath,905Sq Ft,70 / 100,33 / 100,62 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Mateo/819-N-Humboldt-St-94401/unit-204/home/17308923
688,675 Sharon Park Dr #219,"MENLO PARK, CA 94025",1288000,3Beds,2Baths,"1,266Sq Ft",65 / 100,18 / 100,61 / 100,73Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Menlo-Park/675-Sharon-Park-Dr-94025/unit-219/home/1327141
689,1345 Isabelle Cir,"SOUTH SAN FRANCISCO, CA 94080",999000,2Beds,2.5Baths,"1,290Sq Ft",61 / 100,0,46 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/South-San-Francisco/1345-Isabelle-Cir-94080/home/2049140
690,511 Highland Ave,"SAN MATEO, CA 94401",3368000,22Beds,17.5Baths,"6,526Sq Ft",72 / 100,42 / 100,59 / 100,0,https://www.redfin.com//CA/San-Mateo/511-Highland-Ave-94401/home/698313
691,1544 Magnolia Ave,"SAN CARLOS, CA 94070",1954888,2Beds,1Bath,"1,410Sq Ft",85 / 100,0,60 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Carlos/1544-Magnolia-Ave-94070/home/1835998
692,4 W Santa Inez Ave,"SAN MATEO, CA 94402",6000000,—Beds,—Baths,—Sq Ft,75 / 100,44 / 100,36 / 100,0,https://www.redfin.com//CA/San-Mateo/4-W-Santa-Inez-Ave-94402/home/1331100
693,975 Florence Ln #1,"MENLO PARK, CA 94025",1695000,2Beds,2.5Baths,"1,248Sq Ft",83 / 100,38 / 100,86 / 100,89Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Menlo-Park/975-Florence-Ln-94025/unit-1/home/177147240
694,510 Richmond Dr,"Millbrae, CA 94030",3330000,—Beds,—Baths,"6,132Sq Ft",45 / 100,0,16 / 100,0,https://www.redfin.com//CA/Millbrae/510-Richmond-Dr-94030/home/2048411
695,326 Altamont Dr,"South San Francisco, CA 94808",1279900,3Beds,2Baths,"1,330Sq Ft",45 / 100,0,31 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/South-San-Francisco/326-Altamont-Dr-94080/home/2052869
696,601 Laurel Ave #702,"SAN MATEO, CA 94401",828000,2Beds,2Baths,"1,325Sq Ft",98 / 100,47 / 100,84 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Mateo/601-Laurel-Ave-94401/unit-702/home/1980996
697,86 Northcrest Dr,"SOUTH SAN FRANCISCO, CA 94080",1180000,2Beds,2.5Baths,"1,530Sq Ft",17 / 100,0,18 / 100,83Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/South-San-Francisco/86-Northcrest-Dr-94080/home/1994046
698,70 Santa Rosa Ave,"HALF MOON BAY, CA 94019",2650000,4Beds,3Baths,"2,330Sq Ft",25 / 100,0,55 / 100,89Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Half-Moon-Bay/70-Santa-Rosa-Ave-94019/home/2100012
699,352 Dolphin Isle,"FOSTER CITY, CA 94404",2850000,4Beds,2.5Baths,"2,380Sq Ft",40 / 100,0,58 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Foster-City/352-Dolphin-Isle-94404/home/931645
700,1 Entrance Way,"WOODSIDE, CA 94062",2988000,4Beds,3Baths,"2,740Sq Ft",3 / 100,0,5 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Woodside/1-Entrance-Way-94062/home/889737
701,451 Oak Grove Ave #1,"MENLO PARK, CA 94025",1248000,2Beds,2Baths,"1,296Sq Ft",89 / 100,47 / 100,100 / 100,83Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Menlo-Park/451-Oak-Grove-Ave-94025/unit-1/home/1053701
702,110 Park Rd #102,"BURLINGAME, CA 94010",1545000,2Beds,2.5Baths,"2,058Sq Ft",98 / 100,0,82 / 100,62Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Burlingame/110-Park-Rd-94010/unit-102/home/1127105
703,1690 Taylor St,"SAN MATEO, CA 94403",1349000,3Beds,1Bath,"1,150Sq Ft",58 / 100,36 / 100,64 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Mateo/1690-Taylor-St-94403/home/1973183
704,31 Blossom Ct,"DALY CITY, CA 94014",1149000,3Beds,2Baths,"1,770Sq Ft",57 / 100,48 / 100,31 / 100,83Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Daly-City/31-Blossom-Ct-94014/home/550200
705,1028 Foster Square Ln #402,"FOSTER CITY, CA 94404",999800,2Beds,2Baths,"1,144Sq Ft",71 / 100,0,55 / 100,76Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Foster-City/1028-Foster-Square-Ln-94404/unit-402/home/146210889
706,2012 Lyon Ave,"BELMONT, CA 94002",2500000,4Beds,2.5Baths,"2,005Sq Ft",25 / 100,0,18 / 100,83Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Belmont/2012-Lyon-Ave-94002/home/762893
707,2081 Cedar Ave,"MENLO PARK, CA 94025",3198000,4Beds,2Baths,"1,780Sq Ft",45 / 100,0,78 / 100,79Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Menlo-Park/2081-Cedar-Ave-94025/home/2002578
708,4 Politzer Dr,"MENLO PARK, CA 94025",3995000,4Beds,3Baths,"2,340Sq Ft",26 / 100,19 / 100,72 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Menlo-Park/4-Politzer-Dr-94025/home/2051544
709,2816 Curtis Ave,"Redwood City, CA 94063",1298000,4Beds,2Baths,"1,140Sq Ft",85 / 100,0,79 / 100,77Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Redwood-City/2816-Curtis-Ave-94063/home/2005811
710,570 Maple St,"SAN MATEO, CA 94402",1950000,2Beds,1.5Baths,"1,770Sq Ft",84 / 100,43 / 100,65 / 100,66Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Mateo/570-Maple-St-94402/home/1658535
711,435 Bloomfield Rd,"BURLINGAME, CA 94010",1880000,2Beds,1Bath,"1,050Sq Ft",70 / 100,0,75 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Burlingame/435-Bloomfield-Rd-94010/home/1395467
712,1120 Tournament Dr,"Hillsborough, CA 94010",5990000,7Beds,5.5Baths,"4,956Sq Ft",3 / 100,0,13 / 100,70Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hillsborough/1120-Tournament-Dr-94010/home/735262
713,373 Parrott Dr,"SAN MATEO, CA 94402",5850000,5Beds,4Baths,"4,050Sq Ft",66 / 100,38 / 100,35 / 100,66Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Mateo/373-Parrott-Dr-94402/home/1404662
714,3865 Carter Dr #206,"SOUTH SAN FRANCISCO, CA 94080",695000,2Beds,2Baths,"1,090Sq Ft",68 / 100,0,46 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/South-San-Francisco/3865-Carter-Dr-94080/unit-206/home/966752
715,1632 Elm St,"SAN CARLOS, CA 94070",1695000,1Bed,1Bath,"1,030Sq Ft",88 / 100,0,67 / 100,0,https://www.redfin.com//CA/San-Carlos/1632-Elm-St-94070/home/1338475
716,311 Rosilie St,"SAN MATEO, CA 94403",1849888,3Beds,2Baths,"1,500Sq Ft",54 / 100,41 / 100,76 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Mateo/311-Rosilie-St-94403/home/1870291
717,2260 Gellert Blvd #1112,"South San Francisco, CA 94080",988000,3Beds,2Baths,"1,290Sq Ft",80 / 100,0,32 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/South-San-Francisco/2260-Gellert-Blvd-94080/unit-1112/home/28919122
718,1885 E Bayshore Rd #7,"EAST PALO ALTO, CA 94303",499000,2Beds,1Bath,784Sq Ft,55 / 100,0,69 / 100,63Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/East-Palo-Alto/1885-E-Bayshore-Rd-94303/unit-7/home/17307757
719,48 Elmwood Dr,"DALY CITY, CA 94015",1289000,3Beds,1Bath,"1,110Sq Ft",72 / 100,44 / 100,53 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Daly-City/48-Elmwood-Dr-94015/home/1412021
720,700 Glenloch Way,"REDWOOD CITY, CA 94062",5880000,6Beds,4.5Baths,"6,200Sq Ft",15 / 100,0,6 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Emerald-Hills/700-Glenloch-Way-94062/home/12228180
721,516 Wessex,"BELMONT, CA 94002",1988800,4Beds,2Baths,"1,952Sq Ft",82 / 100,0,81 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Belmont/516-Wessex-Way-94002/home/743862
722,210 Turnberry Rd,"HALF MOON BAY, CA 94019",2289000,4Beds,3Baths,"2,660Sq Ft",18 / 100,0,60 / 100,89Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Half-Moon-Bay/210-Turnberry-Rd-94019/home/1124956
723,1006 King St,"REDWOOD CITY, CA 94061",1788000,3Beds,2Baths,"1,605Sq Ft",49 / 100,0,54 / 100,77Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Redwood-City/1006-King-St-94061/home/1886724
724,121 Bonita Ln #121,"MOSS BEACH, CA 94038",282000,3Beds,2Baths,"1,152Sq Ft",14 / 100,0,18 / 100,0,https://www.redfin.com//CA/Moss-Beach/121-Bonita-St-94038/unit-121/home/63744876
725,1126 Cherry Ave #16,"SAN BRUNO, CA 94066",450000,—Beds,1Bath,450Sq Ft,61 / 100,0,44 / 100,76Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Bruno/1126-Cherry-Ave-94066/unit-16/home/955829
726,1010 Barcelona Dr,"PACIFICA, CA 94044",1298000,3Beds,2Baths,"1,080Sq Ft",41 / 100,0,8 / 100,86Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Pacifica/1010-Barcelona-Dr-94044/home/1907919
727,875 Orange Ave,"SAN CARLOS, CA 94070",2198000,3Beds,2Baths,"2,002Sq Ft",66 / 100,0,61 / 100,85Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Carlos/875-Orange-Ave-94070/home/792746
728,321 El Granada Blvd,"EL GRANADA, CA 94018",3500000,4Beds,3Baths,"4,150Sq Ft",15 / 100,0,7 / 100,84Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/EL-GRANADA/321-EL-GRANADA-BLVD-94018/home/1349915
729,1290 Cabrillo Hwy,"HALF MOON BAY, CA 94019",1199000,3Beds,2Baths,"1,485Sq Ft",33 / 100,0,63 / 100,89Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Half-Moon-Bay/1290-Cabrillo-Hwy-N-94019/home/1666914
730,2608 Carlmont Dr,"BELMONT, CA 94002",2298898,3Beds,2.5Baths,"2,060Sq Ft",34 / 100,0,16 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Belmont/2608-Carlmont-Dr-94002/home/1931437
731,130 Laning Dr,"WOODSIDE, CA 94062",6995000,5Beds,5Baths,"4,595Sq Ft",5 / 100,0,13 / 100,62Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Woodside/130-Laning-Dr-94062/home/893433
732,62 Lloyden Dr,"ATHERTON, CA 94027",6788000,4Beds,4Baths,"3,555Sq Ft",43 / 100,0,62 / 100,76Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Atherton/62-Lloyden-Dr-94027/home/1892509
733,722 VERA Ave,"REDWOOD CITY, CA 94061",1399950,3Beds,2.5Baths,"1,510Sq Ft",70 / 100,0,60 / 100,77Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Redwood-City/722-Vera-Ave-94061/home/1239761
734,2900 Evergreen Dr,"SAN BRUNO, CA 94066",1468000,3Beds,2Baths,"1,630Sq Ft",26 / 100,0,12 / 100,80Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Bruno/2900-Evergreen-Dr-94066/home/1441099
735,294 Canyon Dr,"DALY CITY, CA 94014",1249888,3Beds,2Baths,"1,210Sq Ft",50 / 100,60 / 100,17 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Daly-City/294-Canyon-Dr-94014/home/911198
736,60 Valley Ct,"ATHERTON, CA 94027",10995000,5Beds,5Baths,"5,705Sq Ft",0 / 100,0,9 / 100,76Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Atherton/60-Valley-Ct-94027/home/894969
737,392 Ludeman Ln,"MILLBRAE, CA 94030",1200000,2Beds,1Bath,810Sq Ft,66 / 100,0,45 / 100,89Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Millbrae/392-Ludeman-Ln-94030/home/651291
738,401 S Norfolk St #110,"SAN MATEO, CA 94401",899000,2Beds,2Baths,"1,115Sq Ft",83 / 100,33 / 100,84 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Mateo/401-S-Norfolk-St-94401/unit-110/home/1006336
739,15 Emerald Ct,"South San Francisco, CA 94080",1249000,3Beds,1Bath,"1,000Sq Ft",64 / 100,0,50 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/South-San-Francisco/15-Emerald-Ct-94080/home/2036052
740,1305 Cleveland Ave,"SAN MATEO, CA 94403",1375000,4Beds,2Baths,"1,373Sq Ft",62 / 100,37 / 100,64 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Mateo/1305-Cleveland-Ave-94403/home/1058266
741,1441 Bernal Ave,"BURLINGAME, CA 94010",3895000,4Beds,3Baths,"2,960Sq Ft",59 / 100,0,49 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Burlingame/1441-Bernal-Ave-94010/home/1896333
742,108 Clover Ln,"MENLO PARK, CA 94025",2895000,3Beds,2Baths,"1,540Sq Ft",74 / 100,46 / 100,95 / 100,86Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Menlo-Park/108-Clover-Ln-94025/home/858661
743,547 Shoal Cir,"Redwood Shores, CA 94065",1198000,1Bed,2Baths,"1,323Sq Ft",12 / 100,0,69 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Redwood-City/547-Shoal-Cir-94065/home/1746319
744,1217 Paloma Ave #3,"BURLINGAME, CA 94010",775000,2Beds,1Bath,787Sq Ft,91 / 100,0,84 / 100,79Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Burlingame/1217-Paloma-Ave-94010/unit-3/home/17308957
745,2009 Monroe Ave,"BELMONT, CA 94002",1930000,5Beds,3Baths,"2,410Sq Ft",25 / 100,0,18 / 100,83Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Belmont/2009-Monroe-Ave-94002/home/1752344
746,1700 El Camino Real Unit 12-02,"SOUTH SAN FRANCISCO, CA 94080",29500,1Bed,1Bath,450Sq Ft,58 / 100,0,35 / 100,0,https://www.redfin.com//CA/South-San-Francisco/1700-El-Camino-Real-94080/unit-12-02/home/179261165
747,3440 Bay Rd,"REDWOOD CITY, CA 94063",1438000,3Beds,2Baths,"1,420Sq Ft",71 / 100,0,60 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Redwood-City/3440-Bay-Rd-94063/home/818988
748,121 Piccadilly Pl Unit G,"SAN BRUNO, CA 94066",498888,1Bed,1Bath,540Sq Ft,44 / 100,0,27 / 100,76Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Bruno/121-Piccadilly-Pl-94066/unit-G/home/1242415
749,711 S Bayshore Blvd #15,"San Mateo, CA 94401",500000,1Bed,1Bath,610Sq Ft,76 / 100,34 / 100,85 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Mateo/711-S-Bayshore-Blvd-94401/unit-15/home/1427945
